"","g_id","cve_ent","nom_ent","CVEGEOMUN","nom_mun","consumo_per_cap_2020","idh_2020","clase_idh","source_file"
"1","778","02","Baja California","02001","Ensenada","683.98","0.782","alto","ConsumoElectricoPerCapitaIDHMunicipio (1).csv"
"2","828","02","Baja California","02002","Mexicali","2591.44","0.809","muy alto","ConsumoElectricoPerCapitaIDHMunicipio (1).csv"
"3","836","02","Baja California","02004","Tijuana","576.67","0.792","muy alto","ConsumoElectricoPerCapitaIDHMunicipio (1).csv"
"4","952","02","Baja California","02003","Tecate","738.14","0.764","alto","ConsumoElectricoPerCapitaIDHMunicipio (1).csv"
"5","1593","02","Baja California","02005","Playas de Rosarito","726.44","0.746","alto","ConsumoElectricoPerCapitaIDHMunicipio (1).csv"
"6","838","11","Guanajuato","11031","San Francisco del Rincón","305.87","0.713","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"7","283","11","Guanajuato","11001","Abasolo","297.02","0.705","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"8","541","11","Guanajuato","11014","Dolores Hidalgo Cuna de la Independencia Nacional","305.22","0.683","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"9","546","11","Guanajuato","11013","Doctor Mora","259.24","0.707","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"10","781","11","Guanajuato","11007","Celaya","404.63","0.753","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"11","806","11","Guanajuato","11046","Yuriria","389.27","0.68","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"12","854","11","Guanajuato","11011","Cortazar","364.37","0.72","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"13","855","11","Guanajuato","11008","Manuel Doblado","333.45","0.686","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"14","857","11","Guanajuato","11010","Coroneo","332.06","0.691","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"15","858","11","Guanajuato","11012","Cuerámaro","395.01","0.691","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"16","867","11","Guanajuato","11026","Romita","284.23","0.693","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"17","915","11","Guanajuato","11044","Villagrán","342.91","0.741","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"18","1123","11","Guanajuato","11016","Huanímaro","337.18","0.695","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"19","1124","11","Guanajuato","11017","Irapuato","335.17","0.752","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"20","1126","11","Guanajuato","11027","Salamanca","420.03","0.751","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"21","1765","11","Guanajuato","11015","Guanajuato","359.41","0.779","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"22","1214","11","Guanajuato","11025","Purísima del Rincón","322.42","0.688","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"23","1215","11","Guanajuato","11028","Salvatierra","397.12","0.718","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"24","1235","11","Guanajuato","11020","León","356.99","0.746","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"25","1270","11","Guanajuato","11036","Santiago Maravatío","404.38","0.689","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"26","1271","11","Guanajuato","11043","Victoria","247.19","0.693","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"27","1272","11","Guanajuato","11037","Silao de la Victoria","304.49","0.74","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"28","1273","11","Guanajuato","11038","Tarandacuao","397.21","0.696","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"29","1318","11","Guanajuato","11003","San Miguel de Allende","485.78","0.722","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"30","1361","11","Guanajuato","11006","Atarjea","226.17","0.604","medio","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"31","1367","11","Guanajuato","11034","Santa Catarina","290.67","0.652","medio","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"32","1362","11","Guanajuato","11005","Apaseo el Grande","316.45","0.709","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"33","1537","11","Guanajuato","11023","Pénjamo","331.93","0.679","medio","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"34","2123","11","Guanajuato","11033","San Luis de la Paz","296.86","0.702","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"35","1923","11","Guanajuato","11018","Jaral del Progreso","343.96","0.695","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"36","1985","11","Guanajuato","11022","Ocampo","282.91","0.671","medio","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"37","1984","11","Guanajuato","11021","Moroleón","485.62","0.71","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"38","2109","11","Guanajuato","11009","Comonfort","329.3","0.677","medio","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"39","2112","11","Guanajuato","11002","Acámbaro","389.41","0.707","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"40","2163","11","Guanajuato","11039","Tarimoro","359.9","0.71","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"41","2165","11","Guanajuato","11035","Santa Cruz de Juventino Rosas","328.42","0.679","medio","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"42","2164","11","Guanajuato","11042","Valle de Santiago","362.21","0.699","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"43","2166","11","Guanajuato","11041","Uriangato","406.17","0.696","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"44","2197","11","Guanajuato","11032","San José Iturbide","349.79","0.724","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"45","2299","11","Guanajuato","11024","Pueblo Nuevo","416.18","0.712","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"46","2394","11","Guanajuato","11004","Apaseo el Alto","314.17","0.711","alto","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"47","455","11","Guanajuato","11045","Xichú","250.84","0.643","medio","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"48","1269","11","Guanajuato","11040","Tierra Blanca","231.94","0.629","medio","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"49","2345","11","Guanajuato","11019","Jerécuaro","301.41","0.642","medio","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"50","2455","11","Guanajuato","11029","San Diego de la Unión","282.27","0.674","medio","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"51","2456","11","Guanajuato","11030","San Felipe","261.3","0.661","medio","ConsumoElectricoPerCapitaIDHMunicipio (10).csv"
"52","70","12","Guerrero","12026","Cuetzala del Progreso","279.05","0.63","medio","ConsumoElectricoPerCapitaIDHMunicipio (11).csv"
"53","72","12","Guerrero","12025","Cuautepec","268.62","0.654","medio","ConsumoElectricoPerCapitaIDHMunicipio (11).csv"
"54","112","12","Guerrero","12074","Zitlala","156.08","0.617","medio","ConsumoElectricoPerCapitaIDHMunicipio (11).csv"
"55","153","12","Guerrero","12069","Xalpatláhuac","302.22","0.58","medio","ConsumoElectricoPerCapitaIDHMunicipio (11).csv"
"56","211","12","Guerrero","12009","Atlamajalcingo del Monte","151.37","0.525","bajo","ConsumoElectricoPerCapitaIDHMunicipio (11).csv"
"57","210","12","Guerrero","12008","Atenango del Río","391.82","0.635","medio","ConsumoElectricoPerCapitaIDHMunicipio (11).csv"
"58","212","12","Guerrero","12010","Atlixtac","190.67","0.565","medio","ConsumoElectricoPerCapitaIDHMunicipio (11).csv"
"59","225","12","Guerrero","12001","Acapulco de Juárez","597.75","0.754","alto","ConsumoElectricoPerCapitaIDHMunicipio (11).csv"
"60","228","12","Guerrero","12031","General Canuto A. Neri","278.6","0.615","medio","ConsumoElectricoPerCapitaIDHMunicipio (11).csv"
"61","247","12","Guerrero","12011","Atoyac de Álvarez","442.53","0.705","alto","ConsumoElectricoPerCapitaIDHMunicipio (11).csv"
