polygon_id,zone_layer,source_band,zone_id,count,mean,sum,min,max,Scenario,percentage_of_sum,LST Zone
Global,lst_classification_twin_map.tif,Población total,1,4305,0.09394652,404.43976,0.0,0.48138568,Base,13.774389266967773,Fondo Térmico Urbano
Global,lst_classification_twin_map.tif,Población total,2,3515,0.30645114,1077.1758,0.0,2.470039,Base,36.686397552490234,Zona de transición
Global,lst_classification_twin_map.tif,Población total,3,5486,0.2636368,1446.3115,0.0,2.470039,Base,49.25840377807617,Zona de impacto
Global,lst_classification_twin_map.tif,Población total,4,143,0.057658616,8.245182,0.0,0.27796268,Base,0.280813992023468,Zona núcleo
Global,lst_classification_intervention_map.tif,Población total,1,4449,0.103874415,462.13727,0.0,0.49713895,Intervención,15.739446640014648,Fondo Térmico Urbano
Global,lst_classification_intervention_map.tif,Población total,2,4188,0.30682516,1284.9838,0.0,1.8027343,Intervención,43.76390838623047,Zona de transición
Global,lst_classification_intervention_map.tif,Población total,3,4776,0.24873105,1187.9395,0.0,2.470039,Intervención,40.458778381347656,Zona de impacto
Global,lst_classification_intervention_map.tif,Población total,4,36,0.030884743,1.1118507,0.0,0.27796268,Intervención,0.03786735236644745,Zona núcleo
Global,lst_classification_twin_map.tif,Población infantil,1,4305,0.028509965,122.7354,0.0,0.13795607,Base,15.431869506835938,Fondo Térmico Urbano
Global,lst_classification_twin_map.tif,Población infantil,2,3515,0.08348855,293.46225,0.0,0.72630227,Base,36.8978385925293,Zona de transición
Global,lst_classification_twin_map.tif,Población infantil,3,5486,0.0688666,377.8022,0.0,0.72630227,Base,47.502140045166016,Zona de impacto
Global,lst_classification_twin_map.tif,Población infantil,4,143,0.009352663,1.3374307,0.0,0.07965887,Base,0.16815894842147827,Zona núcleo
Global,lst_classification_intervention_map.tif,Población infantil,1,4449,0.031077513,138.26385,0.0,0.13795607,Intervención,17.384302139282227,Fondo Térmico Urbano
Global,lst_classification_intervention_map.tif,Población infantil,2,4188,0.08140564,340.92682,0.0,0.5300848,Intervención,42.86568832397461,Zona de transición
Global,lst_classification_intervention_map.tif,Población infantil,3,4776,0.066128135,315.82797,0.0,0.72630227,Intervención,39.709938049316406,Zona de impacto
Global,lst_classification_intervention_map.tif,Población infantil,4,36,0.008850986,0.3186355,0.0,0.07965887,Intervención,0.040062934160232544,Zona núcleo
Global,lst_classification_twin_map.tif,Población adolescente,1,4305,0.06073769,261.47577,0.0,0.31709188,Base,13.246737480163574,Fondo Térmico Urbano
Global,lst_classification_twin_map.tif,Población adolescente,2,3515,0.20531023,721.66547,0.0,1.6892327,Base,36.56060791015625,Zona de transición
Global,lst_classification_twin_map.tif,Población adolescente,3,5486,0.17948669,984.664,0.0,1.6892327,Base,49.884490966796875,Zona de impacto
Global,lst_classification_twin_map.tif,Población adolescente,4,143,0.042537734,6.0828958,0.0,0.18309583,Base,0.3081682026386261,Zona núcleo
